FiscalPeriod,20020228,20030228,20040228,20050228,20060228,20070228,20080228,20090228,20100228,20110228,20120228,20130228,20140228,20150228,20160228,20110530,20110830,20111130,20120228,20120530,20120830,20121130,20130228,20130530,20130830,20131130,20140228,20140530,20140830,20141130,20150228,20150530,20150830,20151130,20160228
RevenueperShare,0.189,0.123,0.027,0.017,0.010,0.010,0.011,0.009,0.008,0.007,0.007,0.006,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000
EBITDAperShare,-0.089,-0.027,-0.015,-0.006,-0.004,-0.004,-0.002,-0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EBITperShare,-0.117,-0.044,-0.020,-0.008,-0.006,-0.006,-0.003,-0.002,-0.001,-0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EarningsperShareDiluted,-0.150,-0.020,-0.020,-0.010,0.000,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EPSwithoutNRI,-0.140,-0.020,-0.020,-0.010,0.000,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OwnerEarningsperShareTTM,0.000,0.000,-0.020,-0.006,-0.003,-0.003,-0.002,-0.002,0.004,-0.001,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FreeCashFlowperShare,-0.004,-0.030,-0.009,-0.004,-0.002,-0.003,-0.002,-0.002,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OperatingCashFlowperShare,-0.002,-0.028,-0.009,-0.003,-0.001,-0.002,-0.002,-0.001,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DividendsperShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BookValueperShare,0.240,0.104,0.026,0.018,0.014,0.008,0.004,0.000,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
