FiscalPeriod,20021230,20031230,20041230,20051230,20061230,20071230,20081230,20091230,20101230,20111230,20121230,20131230,20141230,20151230,20161230,20120630,20120930,20121230,20130330,20130630,20130930,20131230,20140330,20140630,20140930,20141230,20150330,20150630,20150930,20151230,20160330,20160630,20160930,20161230,20170330
RevenueperShare,7.860,4.066,5.688,5.847,5.441,5.602,4.559,4.604,4.784,5.313,6.568,7.229,7.989,8.069,8.123,1.637,1.658,1.652,1.727,1.950,1.886,1.790,1.953,1.998,2.054,1.985,1.989,2.040,1.960,1.943,2.046,2.046,2.076,1.954,2.147
EBITDAperShare,1.075,0.394,0.396,0.189,0.655,1.571,0.573,0.199,0.599,0.283,0.384,0.599,0.358,0.401,0.308,-0.063,0.082,0.110,0.082,0.291,0.143,0.089,0.078,0.078,0.107,0.095,0.080,0.220,0.048,0.039,0.100,0.050,0.049,0.109,0.022
EBITperShare,0.262,0.352,0.334,0.144,0.618,1.059,0.105,0.184,0.145,0.266,0.362,0.573,0.313,0.347,0.249,0.071,0.076,0.104,0.075,0.284,0.137,0.083,0.067,0.068,0.095,0.082,0.066,0.207,0.035,0.025,0.086,0.036,0.035,0.092,0.003
EarningsperShareDiluted,-0.630,0.250,0.180,-0.210,0.330,0.250,-0.250,-0.080,0.020,0.120,0.180,0.480,0.190,0.190,0.110,0.030,0.040,0.030,0.040,0.260,0.120,0.060,0.030,0.040,0.060,0.060,0.030,0.150,0.010,0.000,0.040,0.010,0.002,0.060,-0.020
EPSwithoutNRI,0.100,0.230,0.310,-0.210,0.270,0.450,-0.090,-0.080,0.020,0.120,0.180,0.480,0.190,0.190,0.110,0.030,0.040,0.030,0.040,0.260,0.120,0.060,0.030,0.040,0.060,0.060,0.030,0.150,0.010,0.000,0.040,0.010,0.002,0.060,-0.020
OwnerEarningsperShareTTM,0.191,0.291,0.223,-0.227,0.413,0.995,-0.025,0.045,0.299,0.099,0.102,0.640,0.204,0.309,0.154,0.159,-0.227,0.102,0.143,-0.318,0.282,0.640,0.587,0.584,0.256,0.204,0.428,0.545,0.535,0.309,-0.236,0.059,0.238,0.154,0.284
FreeCashFlowperShare,0.615,0.493,0.247,0.509,0.009,-0.021,-0.288,-0.039,0.217,0.407,0.279,0.511,0.016,0.092,0.045,0.063,0.047,0.207,-0.137,0.063,0.382,0.193,-0.284,0.130,-0.109,0.285,-0.209,0.101,0.026,0.168,-0.352,-0.054,0.277,0.172,-0.305
OperatingCashFlowperShare,0.636,0.508,0.273,0.540,0.022,-0.001,-0.281,-0.034,0.219,0.410,0.287,0.569,0.214,0.107,0.064,0.067,0.047,0.208,-0.133,0.069,0.384,0.240,-0.205,0.182,-0.060,0.302,-0.206,0.106,0.027,0.174,-0.341,-0.052,0.281,0.175,-0.301
DividendsperShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.020,0.020,0.020,0.020,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.020,0.000,0.000,0.000,0.000
BookValueperShare,3.668,4.099,4.194,3.763,4.375,4.014,3.440,3.472,3.712,4.523,4.980,4.776,5.055,5.014,5.157,4.764,5.036,4.980,4.918,4.624,4.563,4.776,4.831,5.131,4.948,5.055,5.219,5.118,5.015,5.014,5.089,5.273,5.330,5.157,5.236
