FiscalPeriod,20020930,20030930,20040930,20050930,20060930,20070930,20080930,20090930,20100930,20110930,20120930,20130930,20140930,20150930,20160930,20120630,20120930,20121230,20130330,20130630,20130930,20131230,20140330,20140630,20140930,20141230,20150330,20150630,20150930,20151230,20160330,20160630,20160930,20161230,20170330
RevenueperShare,1.134,1.226,1.527,2.323,3.144,3.948,5.937,6.758,10.076,16.510,23.651,26.207,29.855,40.344,39.205,5.283,5.419,8.221,6.584,5.460,5.888,9.127,7.414,6.185,7.053,12.683,9.942,8.592,9.063,13.563,9.124,7.740,8.687,14.706,10.053
EBITDAperShare,0.027,0.042,0.096,0.304,0.436,0.759,1.397,1.965,2.999,5.494,8.922,8.748,10.096,14.587,13.333,1.915,1.789,2.905,2.204,1.728,1.887,3.160,2.565,2.070,2.270,4.611,3.634,3.076,3.241,4.970,3.057,2.449,2.816,5.197,3.335
EBITperShare,0.003,0.020,0.069,0.274,0.399,0.708,1.319,1.849,2.840,5.217,8.427,7.711,8.798,12.644,11.423,1.789,1.641,2.665,1.949,1.466,1.607,2.820,2.258,1.749,1.940,4.173,3.210,2.542,2.692,4.442,2.610,1.988,2.343,4.637,2.891
EarningsperShareDiluted,0.013,0.011,0.049,0.221,0.324,0.561,0.969,1.297,2.164,3.954,6.310,5.680,6.450,9.220,8.310,1.331,1.241,1.973,1.441,1.070,1.190,2.070,1.660,1.280,1.420,3.060,2.330,1.850,1.970,3.280,1.900,1.420,1.690,3.360,2.100
EPSwithoutNRI,0.013,0.013,0.049,0.221,0.324,0.561,0.969,1.297,2.164,3.954,6.310,5.680,6.450,9.220,8.310,1.330,1.240,1.970,1.440,1.070,1.190,2.070,1.660,1.280,1.420,3.060,2.330,1.850,1.970,3.280,1.900,1.420,1.690,3.360,2.100
OwnerEarningsperShareTTM,-0.015,0.031,0.114,0.303,0.291,0.773,1.355,1.371,2.590,5.211,6.860,7.311,8.484,12.233,9.763,7.184,6.860,7.712,7.414,7.151,7.311,7.235,7.519,7.954,8.484,10.352,11.271,12.133,12.233,11.221,9.851,9.117,9.763,9.728,9.962
FreeCashFlowperShare,-0.017,0.025,0.140,0.379,0.254,0.720,1.330,1.409,2.545,4.587,6.264,6.837,8.150,12.045,9.504,1.090,0.849,3.163,1.541,0.898,1.195,3.269,1.958,1.293,1.574,5.178,2.846,2.234,1.728,4.193,1.625,1.412,2.241,4.436,1.807
OperatingCashFlowperShare,0.018,0.057,0.172,0.423,0.361,0.879,1.520,1.600,2.873,5.724,7.685,8.229,9.753,14.028,11.967,1.537,1.377,3.533,1.888,1.210,1.557,3.593,2.199,1.695,2.219,5.733,3.270,2.596,2.371,4.909,2.094,1.943,2.990,5.078,2.380
DividendsperShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,1.629,1.811,1.980,2.180,0.000,0.379,0.379,0.379,0.436,0.436,0.436,0.436,0.470,0.470,0.470,0.470,0.520,0.520,0.520,0.520,0.570,0.570,0.570,0.570
BookValueperShare,0.815,0.823,0.926,1.271,1.668,2.380,3.596,5.023,7.454,11.778,17.980,19.628,19.015,21.395,24.034,17.032,17.980,19.378,20.589,19.398,19.628,20.757,19.923,20.193,19.015,21.167,22.388,22.028,21.395,23.134,23.813,23.463,24.034,25.180,25.756
TangibleBookperShare,0.791,0.801,0.909,1.248,1.635,2.311,3.505,4.951,7.285,11.097,17.165,18.714,17.522,19.780,22.419,16.200,17.165,18.489,19.748,18.474,18.714,19.776,18.931,19.168,17.522,19.623,20.866,20.481,19.780,21.488,22.153,21.838,22.419,23.607,24.202
TotalDebtperShare,0.063,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.694,6.017,11.531,16.310,0.000,0.000,0.000,0.000,2.667,2.694,2.715,2.812,5.183,6.017,6.248,7.613,9.538,11.531,11.356,14.579,15.749,16.310,16.651,18.925
MonthEndStockPrice,1.040,1.480,2.770,7.660,11.000,21.920,16.240,26.480,40.540,54.470,95.300,68.110,100.750,110.300,113.050,83.430,95.300,76.020,63.240,56.650,68.110,80.150,76.680,92.930,100.750,110.380,124.430,125.430,110.300,105.260,108.990,95.600,113.050,115.820,143.660
ROE,1.620,1.660,5.720,21.240,22.850,28.510,33.230,30.540,35.280,41.670,42.840,30.640,33.610,46.250,36.900,32.950,28.610,42.610,29.060,21.330,24.340,41.300,32.730,25.710,29.140,61.390,43.020,33.540,36.320,59.320,32.520,24.270,28.300,54.910,33.110
