FiscalPeriod,20021230,20031230,20041230,20051230,20061230,20071230,20081230,20091230,20101230,20111230,20121230,20131230,20141230,20151230,20161230,20120630,20120930,20121230,20130330,20130630,20130930,20131230,20140330,20140630,20140930,20141230,20150330,20150630,20150930,20151230,20160330,20160630,20160930,20161230,20170330
RevenueperShare,10.395,12.552,16.285,19.930,25.262,34.988,44.366,55.450,75.009,104.289,134.863,160.112,192.615,224.331,280.965,28.022,30.544,46.640,34.708,34.439,37.400,54.673,42.182,41.952,44.447,63.073,48.854,48.708,53.050,74.473,60.557,62.948,67.452,89.817,72.886
EBITDAperShare,0.197,0.583,1.266,1.505,1.557,2.318,2.914,3.559,4.614,4.516,6.170,8.387,10.487,17.417,25.810,1.424,1.226,2.250,1.758,1.768,1.810,3.105,2.504,2.445,1.430,4.049,3.359,4.160,4.105,5.844,6.237,6.634,5.553,7.384,7.198
EBITperShare,-0.020,0.403,1.087,1.221,1.073,1.738,2.250,2.704,3.368,2.167,1.404,1.391,0.214,4.249,9.041,0.365,-0.062,0.798,0.246,0.110,-0.015,1.049,0.346,0.039,-1.263,1.082,0.292,1.000,0.759,2.194,2.439,2.681,1.256,2.667,2.229
EarningsperShareDiluted,-0.390,0.080,1.390,0.840,0.450,1.120,1.490,2.040,2.530,1.370,-0.090,0.590,-0.520,1.250,4.900,0.010,-0.600,0.210,0.180,-0.020,-0.090,0.520,0.230,-0.270,-0.950,0.470,-0.120,0.190,0.170,1.010,1.070,1.780,0.520,1.540,1.480
EPSwithoutNRI,-0.400,0.080,1.384,0.782,0.450,1.120,1.490,2.040,2.530,1.370,-0.090,0.590,-0.520,1.250,4.900,0.010,-0.600,0.210,0.180,-0.020,-0.090,0.520,0.230,-0.270,-0.950,0.470,-0.120,0.190,0.170,1.010,1.070,1.780,0.520,1.540,1.480
OwnerEarningsperShareTTM,-0.330,0.124,1.633,1.493,1.412,3.315,3.318,6.049,6.339,5.638,4.727,4.980,5.351,12.948,20.545,3.676,3.340,4.727,4.213,4.067,4.805,4.980,4.570,3.992,4.000,5.351,6.471,8.069,9.394,12.948,11.578,13.711,17.003,20.545,20.034
FreeCashFlowperShare,0.357,0.825,1.122,1.242,1.146,2.785,3.157,6.606,5.518,4.538,0.872,4.368,4.219,15.369,20.054,-0.138,0.502,6.700,-6.570,0.055,0.766,10.041,-7.654,-0.928,0.838,11.978,-5.097,1.647,2.960,15.631,-6.511,3.631,5.454,17.754,-7.043
OperatingCashFlowperShare,0.461,0.935,1.332,1.721,1.656,3.314,3.928,7.450,7.664,8.466,9.227,11.774,14.810,24.990,33.973,1.297,2.086,11.143,-5.123,1.930,3.037,11.919,-5.346,1.870,3.814,14.441,-3.224,4.195,5.460,18.358,-4.060,7.174,9.249,21.873,-3.245
DividendsperShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BookValueperShare,-3.487,-2.569,-0.554,0.591,1.041,2.877,6.243,11.840,15.220,17.048,18.044,21.233,23.099,28.416,40.430,16.604,16.673,18.044,18.532,19.109,19.841,21.233,22.452,22.948,22.324,23.099,23.333,25.145,26.503,28.416,31.290,34.890,37.436,40.430,45.348
TangibleBookperShare,-3.679,-2.740,-0.893,0.183,0.519,2.279,4.846,7.784,10.980,11.330,10.826,15.449,15.961,20.435,32.497,11.027,11.066,10.826,12.960,13.389,14.087,15.449,16.685,17.154,15.127,15.961,15.841,17.618,18.979,20.435,23.264,26.928,29.404,32.497,37.349
TotalDebtperShare,5.905,4.834,4.532,3.570,3.060,3.272,1.245,0.568,1.421,3.110,8.436,11.288,26.858,30.096,31.893,0.000,0.000,8.436,6.681,6.656,6.644,11.288,6.841,6.751,6.693,26.858,17.719,17.628,17.576,30.096,17.428,17.325,17.274,31.893,16.092
MonthEndStockPrice,18.890,52.620,44.290,47.150,39.460,92.640,51.280,134.520,180.000,173.100,250.870,398.790,310.350,675.890,749.870,228.350,254.320,250.870,266.490,277.690,312.640,398.790,336.370,324.780,322.440,310.350,372.100,434.090,511.890,675.890,593.640,715.620,837.310,749.870,886.540
ROE,0.000,0.000,0.000,"3,778.950",56.130,58.480,33.340,22.750,19.010,8.630,-0.490,3.050,-2.350,4.940,14.520,0.380,-14.560,4.980,3.950,-0.330,-1.840,10.190,4.300,-4.820,-16.700,8.120,-2.110,3.250,2.610,14.940,14.580,21.910,5.870,16.170,14.140
ROA,-8.220,1.700,21.740,10.340,4.720,8.780,8.720,8.150,7.070,2.860,-0.130,0.750,-0.510,1.000,3.200,0.140,-5.000,1.420,1.080,-0.100,-0.530,2.670,1.130,-1.360,-4.460,1.800,-0.440,0.720,0.580,3.190,3.260,5.430,1.480,3.880,3.520
ROCJoelGreenblatt,-3.020,72.880,196.480,175.080,113.040,147.400,139.160,111.470,82.940,29.250,11.080,7.190,0.710,10.450,17.180,13.700,-2.080,22.890,6.190,2.430,-0.300,18.760,5.580,0.550,-15.710,12.320,3.140,10.230,7.240,19.830,20.790,21.360,9.300,18.460,14.150
ROIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,169.560,33.260,10.750,12.970,32.620,5.300,-22.090,47.750,42.630,1.890,-1.650,35.610,6.280,-5.100,-23.970,19.930,-43.510,8.660,9.220,32.840,31.710,49.610,15.490,40.130,37.360
WACC,16.740,18.570,10.900,18.140,25.320,21.710,13.550,10.720,9.710,4.190,7.300,7.040,12.050,10.880,10.760,6.320,6.630,7.300,6.890,6.360,5.790,7.040,7.390,7.400,9.560,12.050,9.890,10.550,9.890,10.880,11.310,11.270,10.920,10.760,10.600
EffectiveInterestRateonDebt,6.410,6.130,5.620,5.510,5.670,5.860,7.500,8.660,8.730,6.320,3.510,3.130,2.380,3.440,3.290,0.000,0.000,5.640,3.840,4.340,4.730,3.790,4.030,5.750,6.300,3.800,4.430,5.520,5.630,4.100,4.180,5.650,5.750,4.540,4.860
GrossMargin,0.252390000000000,0.238790000000000,0.231470000000000,0.240160000000000,0.229300000000000,0.226020000000000,0.222790000000000,0.225670000000000,0.223450000000000,0.224410000000000,0.247520000000000,0.272270000000000,0.294830000000000,0.330400000000000,0.350930000000000,0.232960000000000,0.237370000000000,0.247520000000000,0.265650000000000,0.260020000000000,0.265510000000000,0.272270000000000,0.288030000000000,0.282970000000000,0.285760000000000,0.294830000000000,0.322310000000000,0.312650000000000,0.324150000000000,0.330400000000000,0.352310000000000,0.343960000000000,0.346470000000000,0.350930000000000,0.371670000000000
OperatingMargin,0.016300000000000,0.051290000000000,0.063570000000000,0.050880000000000,0.036320000000000,0.044150000000000,0.043930000000000,0.046060000000000,0.041110000000000,0.017930000000000,0.011070000000000,0.010010000000000,0.002000000000000,0.020870000000000,0.030780000000000,0.011730000000000,0.009270000000000,0.011070000000000,0.011260000000000,0.009540000000000,0.009130000000000,0.010010000000000,0.007400000000000,0.007550000000000,0.001150000000000,0.002000000000000,0.011230000000000,0.007980000000000,0.017040000000000,0.020870000000000,0.036770000000000,0.032080000000000,0.031560000000000,0.030780000000000,0.028140000000000
