FiscalPeriod,20021230,20031230,20041230,20051230,20061230,20071230,20081230,20091230,20101230,20111230,20121230,20131230,20141230,20151230,20161230,20120630,20120930,20121230,20130330,20130630,20130930,20131230,20140330,20140630,20140930,20141230,20150330,20150630,20150930,20151230,20160330,20160630,20160930,20161230,20170330
RevenueperShare,0.283,0.539,0.713,1.069,1.648,2.193,2.782,3.753,4.551,5.306,6.129,6.609,15.112,21.459,22.378,1.541,1.531,1.589,1.520,1.633,1.645,1.824,2.976,3.927,3.691,4.566,4.840,5.353,5.519,5.786,5.520,5.739,5.601,5.525,4.928
EBITDAperShare,0.062,-0.078,0.371,0.631,-0.311,1.211,1.509,2.026,2.455,2.632,2.685,2.867,9.908,15.414,14.152,0.721,0.701,0.726,0.658,0.724,0.723,0.768,1.944,2.809,2.286,2.893,3.608,3.847,3.935,4.044,3.552,3.624,3.597,3.379,3.161
EBITperShare,0.053,-0.091,0.357,0.613,-0.336,1.184,1.428,1.912,2.303,2.440,2.510,2.664,9.270,14.692,13.300,0.678,0.657,0.680,0.614,0.681,0.682,0.693,1.801,2.649,2.123,2.722,3.437,3.669,3.750,3.855,3.351,3.414,3.374,3.158,2.938
EarningsperShareDiluted,0.044,-0.045,0.248,0.430,-0.650,0.840,1.030,1.410,1.660,1.770,1.640,1.810,7.350,11.910,9.940,0.460,0.430,0.470,0.430,0.460,0.470,0.460,1.330,2.200,1.670,2.170,2.760,2.920,3.060,3.180,2.530,2.580,2.490,2.350,2.050
EPSwithoutNRI,0.044,-0.045,0.248,0.430,-0.650,0.840,1.030,1.410,1.660,1.770,1.640,1.810,7.350,11.910,9.940,0.460,0.430,0.470,0.430,0.460,0.470,0.460,1.330,2.200,1.670,2.170,2.760,2.920,3.060,3.180,2.530,2.580,2.490,2.350,2.050
OwnerEarningsperShareTTM,0.024,-0.105,0.256,0.264,-0.770,0.782,1.012,1.486,1.466,2.187,1.711,1.519,7.599,13.351,11.643,2.101,1.989,1.711,1.791,1.530,1.499,1.519,2.070,4.011,6.067,7.599,10.379,11.497,11.790,13.351,12.634,12.530,12.760,11.643,10.870
FreeCashFlowperShare,0.034,0.122,0.246,0.347,0.606,0.875,1.058,1.526,1.587,2.219,1.768,1.720,7.444,12.874,11.724,0.803,0.428,0.268,0.380,0.536,0.423,0.385,0.836,2.460,2.388,1.782,3.554,3.563,2.535,3.203,2.800,3.335,3.086,2.503,2.127
OperatingCashFlowperShare,0.045,0.146,0.274,0.372,0.663,0.915,1.118,1.649,1.622,2.303,2.018,1.832,7.783,13.366,12.275,0.827,0.470,0.433,0.404,0.562,0.445,0.425,0.933,2.515,2.470,1.886,3.634,3.674,2.725,3.316,2.925,3.486,3.234,2.631,2.216
DividendsperShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.290,1.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.430,0.430,0.430,0.430,0.470,0.470,0.470,0.520
BookValueperShare,0.361,0.588,1.042,1.647,0.984,1.862,2.348,3.538,3.656,4.474,6.124,7.410,10.291,13.034,14.418,5.291,5.676,6.124,6.662,7.255,7.095,7.410,8.705,10.544,8.963,10.291,11.584,11.057,12.018,13.034,9.890,11.672,12.759,14.418,15.637
TangibleBookperShare,0.361,0.588,1.042,1.647,0.984,1.862,2.280,2.691,2.767,3.102,-2.300,-1.107,2.122,5.004,6.675,-3.192,-2.778,-2.300,-2.043,-1.408,-1.525,-1.107,0.330,2.235,0.719,2.122,3.466,3.024,3.994,5.004,1.700,3.494,4.773,6.675,8.038
TotalDebtperShare,0.377,0.202,0.000,0.164,0.765,0.706,0.638,0.694,2.173,5.051,5.414,4.325,8.275,15.510,20.111,6.017,5.786,5.414,5.388,4.946,4.767,4.325,6.375,6.228,6.217,8.275,8.336,8.333,15.338,15.510,16.847,16.624,20.477,20.111,20.135
MonthEndStockPrice,4.250,7.290,8.750,13.140,16.230,23.010,25.570,21.640,18.120,20.470,36.730,75.100,94.260,101.190,71.610,25.640,33.170,36.730,48.940,51.270,62.870,75.100,70.860,82.910,106.450,94.260,98.130,117.080,98.190,101.190,91.860,83.420,79.120,71.610,67.920
ROE,14.080,-9.150,31.270,33.230,-49.140,61.240,51.180,49.550,47.440,44.490,32.320,29.750,90.320,106.640,72.160,37.170,32.540,34.090,29.700,29.090,28.710,28.460,71.960,99.220,73.670,96.220,106.310,107.380,109.200,104.220,89.340,96.690,82.210,69.540,54.960
ROA,6.920,-5.070,24.220,27.490,-30.310,32.560,30.990,31.690,27.250,19.410,13.450,14.040,42.280,41.930,24.840,14.070,13.030,14.460,13.300,13.790,13.990,14.060,35.170,49.340,36.380,43.920,47.490,46.380,40.980,36.600,28.680,28.620,24.990,21.890,18.850
