FiscalPeriod,20021230,20031230,20041230,20051230,20061230,20071230,20081230,20091230,20101230,20111230,20121230,20131230,20141230,20151230,20161230,20120630,20120930,20121230,20130330,20130630,20130930,20131230,20140330,20140630,20140930,20141230,20150330,20150630,20150930,20151230,20160330,20160630,20160930,20161230,20170330
RevenueperShare,46.903,50.849,56.403,55.992,58.849,67.806,74.672,71.389,77.578,88.086,89.034,89.178,91.874,83.180,83.361,22.190,21.532,24.350,20.826,22.466,21.240,25.355,21.344,23.925,22.449,24.227,19.742,21.094,19.694,22.676,19.374,21.070,20.084,22.850,19.155
EBITDAperShare,7.026,8.260,9.210,10.834,11.959,13.935,16.456,17.545,19.359,21.610,23.952,22.958,24.715,20.625,18.088,5.555,5.559,8.562,4.318,4.848,5.683,7.804,4.251,6.616,5.639,8.297,4.109,5.371,4.774,6.391,2.286,4.497,4.751,6.580,2.804
EBITperShare,4.431,5.455,6.331,7.647,8.751,10.365,12.529,13.822,15.606,17.643,19.905,18.717,20.267,16.702,13.518,4.543,4.523,7.548,3.292,3.824,4.613,6.680,3.156,5.456,4.497,7.246,3.133,4.397,3.818,5.373,1.225,3.348,3.574,5.397,1.645
EarningsperShareDiluted,2.060,3.740,4.380,4.870,6.110,7.150,8.890,10.010,11.520,13.060,14.370,14.940,11.900,13.420,12.380,3.340,3.330,5.100,2.700,2.910,3.680,5.670,2.290,4.120,0.020,5.460,2.350,3.500,3.010,4.570,2.090,2.610,2.980,4.710,1.850
EPSwithoutNRI,3.070,3.760,4.390,4.910,6.060,7.150,8.890,10.010,11.520,13.060,14.710,15.300,15.590,13.600,12.390,3.340,3.330,5.440,2.700,2.910,3.770,5.700,2.430,4.230,3.460,5.500,2.440,3.580,3.020,4.570,2.090,2.610,2.980,4.720,1.850
OwnerEarningsperShareTTM,3.522,4.398,4.653,5.515,5.547,7.304,9.090,10.990,11.432,12.034,13.123,13.873,10.977,11.206,14.616,12.593,13.216,13.123,13.042,12.059,11.110,13.873,13.789,15.005,11.570,10.977,10.763,11.032,14.720,11.206,13.484,13.062,13.630,14.616,13.249
FreeCashFlowperShare,4.875,5.456,6.029,6.316,6.342,7.268,10.034,12.447,11.493,12.506,12.869,12.098,12.559,13.083,13.360,2.648,2.968,4.564,2.820,1.963,2.406,4.956,2.270,2.548,2.760,5.029,2.660,2.880,3.238,4.323,4.594,2.641,3.446,2.668,3.248
OperatingCashFlowperShare,7.966,8.293,8.991,9.163,9.668,11.047,13.555,15.487,15.185,16.351,16.951,15.852,16.701,17.307,17.688,3.817,3.928,5.584,3.579,2.861,3.422,6.044,3.193,3.561,3.913,6.088,3.638,3.936,4.326,5.427,5.734,3.704,4.401,3.838,4.173
DividendsperShare,0.590,0.630,0.700,0.780,1.100,1.500,1.900,2.150,2.500,2.900,3.300,3.700,4.250,5.000,5.500,0.850,0.850,0.850,0.850,0.950,0.950,0.950,0.950,1.100,1.100,1.100,1.100,1.300,1.300,1.300,1.300,1.400,1.400,1.400,1.400
BookValueperShare,13.227,16.444,19.256,21.118,18.934,20.566,10.055,17.342,18.767,17.313,16.879,21.616,11.982,14.768,19.290,17.914,19.064,16.879,17.130,16.209,18.305,21.616,16.407,17.419,14.404,11.982,12.329,13.970,13.704,14.768,15.548,16.460,17.889,19.290,19.507
TangibleBookperShare,10.512,11.342,13.042,14.033,8.933,8.725,-5.705,-0.051,-4.542,-8.139,-12.685,-11.630,-22.000,-21.999,-23.938,-9.557,-9.109,-12.685,-12.143,-13.244,-13.821,-11.630,-18.085,-17.819,-20.374,-22.000,-21.042,-20.204,-20.366,-21.999,-24.761,-27.031,-25.527,-23.938,-23.862
